# Omega_m, sigma_8, w, Omega_b, little_h, n_s, m_nu
0.290040483732063259, 0.803448323019350430, -1.000000000000000000, 0.042631172839506182, 0.719999999999999973, 0.969999999999999973, 0.091651513899116785
0.249628758416763685, 0.903013962662911784, -1.000000000000000000, 0.036443905817174514, 0.760000000000000009, 0.994999999999999996, 0.074155855021346792
0.330472835500474904, 0.720563868430519450, -1.000000000000000000, 0.050064878892733561, 0.680000000000000049, 0.945000000000000062, 0.113274939619830983
0.270944069996076120, 0.848044403631622812, -1.000000000000000000, 0.038913543721236024, 0.780000000000000027, 0.932499999999999996, 0.066703457940955391
0.358989733258148092, 0.669601850168770385, -1.000000000000000000, 0.044030612244897960, 0.699999999999999956, 0.982500000000000040, 0.101891215043243805
0.221166852045229789, 0.901528313844002893, -1.000000000000000000, 0.051939853076216715, 0.660000000000000031, 1.007500000000000062, 0.082440865941533242
0.309141104971802250, 0.834890376660772482, -1.000000000000000000, 0.037481738495252014, 0.739999999999999991, 0.957500000000000018, 0.125930502844927683
0.260750903445145232, 0.821159053253201487, -1.000000000000000000, 0.039008256708575717, 0.729999999999999982, 0.926250000000000018, 0.107432403081261521
0.343218885295258624, 0.780056527400057487, -1.000000000000000000, 0.054171597633136087, 0.650000000000000022, 0.976250000000000062, 0.070331017030126855
0.198296789007999796, 0.981368181940220352, -1.000000000000000000, 0.045867464818315482, 0.689999999999999947, 1.001249999999999973, 0.132779028458148735
0.299470078854064348, 0.713924453064802123, -1.000000000000000000, 0.040373587451509527, 0.770000000000000018, 0.951250000000000040, 0.086924278373166033
0.236900999320878325, 0.975318470874798504, -1.000000000000000000, 0.046444157905177544, 0.709999999999999964, 0.938750000000000084, 0.096635832441873001
0.319340313348803695, 0.758079524449256192, -1.000000000000000000, 0.034149174811728897, 0.790000000000000036, 0.988750000000000018, 0.063263002429993179
0.280611894619271773, 0.770971054290865321, -1.000000000000000000, 0.039755555555555558, 0.750000000000000000, 1.013749999999999929, 0.119435213007111643
0.381964429914882331, 0.721783486938269547, -1.000000000000000000, 0.045138115393183340, 0.670000000000000040, 0.963749999999999996, 0.078188700606894784
0.285340593711051582, 0.861817079193519131, -1.000000000000000000, 0.045700356971602109, 0.685000000000000053, 0.973125000000000018, 0.084652895877380924
0.401592788662114064, 0.665418068887095426, -1.000000000000000000, 0.040230253321372124, 0.765000000000000013, 0.923125000000000084, 0.129309434385104449
0.243526723534912587, 0.803683980054664904, -1.000000000000000000, 0.038799048751486327, 0.724999999999999978, 0.948124999999999996, 0.068493226208244024
0.324756758458747186, 0.770689748336885749, -1.000000000000000000, 0.054068265128297578, 0.645000000000000018, 0.998125000000000040, 0.104625131230337134
0.211161352828574123, 0.936956393477882066, -1.000000000000000000, 0.041473357055988466, 0.744999999999999996, 0.985624999999999973, 0.076145583893699201
0.304259212330578011, 0.876924337953689292, -1.000000000000000000, 0.047303408898185316, 0.665000000000000036, 0.935625000000000040, 0.116314300676495591
0.265934446948740633, 0.869828167245302875, -1.000000000000000000, 0.048425632513455059, 0.704999999999999960, 0.960625000000000062, 0.061609902984825347
0.350580424256438317, 0.694880137393750208, -1.000000000000000000, 0.035650533490202439, 0.785000000000000031, 1.010625000000000107, 0.094110681328949286
0.229554219922281255, 0.907600197155905564, -1.000000000000000000, 0.036139438085327782, 0.775000000000000022, 0.979374999999999996, 0.122639864772334989
0.314153328221641492, 0.680984569387409477, -1.000000000000000000, 0.049285751255111018, 0.694999999999999951, 0.929375000000000062, 0.080286637648339043
0.275824060499137824, 0.793695020538650597, -1.000000000000000000, 0.048146961132801119, 0.655000000000000027, 0.954374999999999973, 0.099228737693360602
0.369031017649578685, 0.747289807637450565, -1.000000000000000000, 0.042123652181961221, 0.734999999999999987, 1.004375000000000018, 0.064960457370677502
0.255338955861398154, 0.801567868888578672, -1.000000000000000000, 0.048792866941015089, 0.675000000000000044, 0.991875000000000062, 0.136341717695431797
0.336582644771294182, 0.764820403283002381, -1.000000000000000000, 0.035316433489759221, 0.755000000000000004, 0.941875000000000018, 0.089256605959945196
0.178860531703580405, 1.108472283346676246, -1.000000000000000000, 0.036835963767256043, 0.795000000000000040, 0.966875000000000040, 0.110314998854386240
0.294740622548743780, 0.785051090054369460, -1.000000000000000000, 0.041432343879896326, 0.714999999999999969, 1.016874999999999973, 0.072218118934170253
0.252526301318123481, 0.876194278809477534, -1.000000000000000000, 0.040071301641262234, 0.752499999999999947, 0.946562500000000084, 0.097923703305962451
0.333471370019904567, 0.690979057400452623, -1.000000000000000000, 0.045528668758032645, 0.672499999999999987, 0.996562500000000018, 0.064106111818567207
0.161899703620741908, 1.050874579351375404, -1.000000000000000000, 0.046765158510310864, 0.712500000000000022, 0.971562499999999996, 0.121026932425172221
0.292388720148469561, 0.854786235074744383, -1.000000000000000000, 0.034456507677457233, 0.792499999999999982, 0.921562500000000062, 0.079230725566665272
0.225518085662852252, 0.869382633842689545, -1.000000000000000000, 0.044031591705873917, 0.692500000000000004, 0.959062500000000040, 0.108864160414864408
0.311628342570094363, 0.805834400172163567, -1.000000000000000000, 0.038903027827525895, 0.772499999999999964, 1.009062499999999973, 0.071268322224133054
0.273397798757011645, 0.940336329794336234, -1.000000000000000000, 0.037397057624433599, 0.732500000000000040, 0.984062500000000062, 0.134548581612422113
0.363752177885017347, 0.715659269530153130, -1.000000000000000000, 0.052061772434344768, 0.652499999999999969, 0.934062500000000018, 0.088082722841123978
0.205215802415367299, 1.005379069354053634, -1.000000000000000000, 0.051100035599857603, 0.662499999999999978, 0.952812500000000062, 0.067592418462590537
0.301855200662391243, 0.760979619177518218, -1.000000000000000000, 0.036872654717772561, 0.742500000000000049, 1.002812500000000107, 0.103249124669983913
