# Omega_m, sigma_8, w0, wa, Omega_b, little_h, n_s, m_nu
0.316611163949146401, 0.810093293676643067, -0.833198028110769817, -1.474485898416476370, 0.048888952327822109, 0.687318317339675078, 0.934271723384242803, 0.107369416964769121
0.383618708811959974, 0.788811676621351099, -0.433789232981590334, -1.977942917737649076, 0.047688732017935428, 0.699626009647367320, 0.939534881278979550, 0.115966628166701849
0.203889670111440491, 0.806204300840369759, -0.880190096521532683, -1.060513646406533450, 0.044393530609113628, 0.736549086570444267, 0.955324354963190125, 0.063060103626653305
0.269740848335304206, 0.766902441371069776, -0.497969334588176715, -1.483683302534452464, 0.035923270687467902, 0.748856778878136731, 0.960587512857926984, 0.068109409514865341
0.331742683882271905, 0.745594887795383743, -0.984073254216892734, -1.679698368000420938, 0.035197361925659039, 0.761164471185828972, 0.965850670752663842, 0.073563020002760202
0.402276774406204352, 0.725755962900476170, -0.604818298800545717, -1.871665219356894339, 0.034499097415431113, 0.773472163493521214, 0.971113828647400590, 0.079453308294287830
0.136009489955962598, 1.338419113707579822, -0.787810840556078418, 0.353845544383638133, 0.033826968071702337, 0.785779855801213678, 0.976376986542137448, 0.085815239758648881
0.282080162262437706, 0.617841736910454298, -1.305788948985805220, 1.703107341984964052, 0.050396607581421705, 0.651341985978728388, 0.986903302331611165, 0.100108116476975401
0.344678864075173286, 0.628987572858457744, -0.771014212750468997, 1.073480808084561922, 0.049105631579702470, 0.663649678286420630, 0.992166460226348024, 0.108123905746490043
0.419263072096450529, 0.622178543750123048, -0.963120895668731380, -2.404732430247074504, 0.047874407553508802, 0.675957370594113094, 0.997429618121084882, 0.116781529862912820
0.155510938920240926, 1.100067885079978325, -0.586189794292674260, -2.237838780274827855, 0.046699058759739571, 0.688265062901805336, 1.002692776015821741, 0.126132381391199588
0.231508444235290656, 0.966111173599162654, -1.089097537913430225, 1.340423267096282345, 0.045576027224172387, 0.700572755209497577, 1.007955933910558599, 0.136231967966943840
0.294366024327157472, 0.919297955682506718, -0.681292268513217669, -2.813573624982372401, 0.044502042292839869, 0.712880447517189819, 1.013219091805295458, 0.063503229258750946
0.358035790921747865, 0.903823994820307175, -0.862314371059450857, -0.573608352051801273, 0.043474092779363434, 0.725188139824882283, 1.018482249700032094, 0.068588016802315369
0.438095328210971080, 0.417497695357794463, -0.475104234947610893, -0.835671519113569738, 0.042489402242961820, 0.737495832132574525, 0.924022415905018324, 0.074079950008627729
0.172967722440587307, 0.807332679891667571, -1.175076647962809417, -0.042214765265291110, 0.041545406998789433, 0.749803524440266878, 0.929285573799755182, 0.080011629569314638
0.244553306794710101, 0.758490213093896637, -0.726368225326439187, -0.759956574724121925, 0.040639736518633722, 0.762111216747959230, 0.934548731694492041, 0.086418266556492387
0.459610468794361404, 0.693416651274349483, -1.021242757980311389, -0.137891483037031526, 0.031575901015040361, 0.799034293671036178, 0.950338205378702616, 0.108883696348206174
0.188966382744065936, 1.161397992270462698, -0.634917493721933290, -0.527249654869523798, 0.047961943642044501, 0.652288731540858646, 0.955601363273439475, 0.117602157902857191
0.257262657800760186, 0.567006538876829946, -0.816042134310789757, -2.006830096808648101, 0.046761324408395054, 0.664596423848550888, 0.960864521168176222, 0.127018718203502773
0.319110242587256454, 0.605538257918502909, -0.406491055694312597, -2.485090076967426675, 0.045615519388274441, 0.676904116156243130, 0.966127679062913081, 0.137189274939901934
0.485334600326983889, 0.592077032132311110, -0.748694150589809704, -1.803024271482448260, 0.043474545943884786, 0.701519500771627835, 0.976653994852386798, 0.069069987280508532
0.118298985770555087, 1.288539053121096067, -0.936421993776644590, 0.334126454542288620, 0.042473165587798276, 0.713827193079320077, 0.981917152747123656, 0.074600512500368713
0.206770226940493407, 1.044082227684632880, -0.560516310389449601, 1.765290986910684534, 0.041514122329352407, 0.726134885387012430, 0.987180310641860403, 0.080573874188162323
0.334302164963516724, 0.514527898795985039, -0.658326934186639012, -2.141915427369002423, 0.039713121657342858, 0.750750270002397024, 0.997706626431334120, 0.093993780183044662
0.405554146434386864, 0.546587160601750610, -0.838963714486144041, -0.036362430150272296, 0.038866665092715545, 0.763057962310089377, 1.002969784326070979, 0.101519986459891867
0.220748955711588368, 0.887334687695061519, -1.128934007670780781, 0.409180808828281839, 0.037271810098404752, 0.787673346925473972, 1.013496100115544696, 0.118428552525759859
0.284538947769978845, 0.839085498904012406, -0.703935660699579691, -0.133315739123610832, 0.036519827850137770, 0.799981039233166213, 1.018759258010281554, 0.127911283336687331
0.347312461609087242, 0.813647635792597024, -0.886230263928508011, -1.608457795005590274, 0.057651982771818204, 0.640059467859614983, 0.924299424215267673, 0.138153308943630787
0.422861094716865393, 0.793673440274662578, -0.505329833131006101, -1.977768190979417362, 0.056077673515168819, 0.652367160167307225, 0.929562582110004532, 0.064398843983749912
0.159143090554985212, 0.768060084931754594, -0.991263791892710078, 1.874986066974208665, 0.054579354994488065, 0.664674852474999467, 0.934825740004741390, 0.069555344582707998
0.296824074632543067, 0.715222745984249619, -0.793429002244781967, -1.385667918371132235, 0.042981488055328157, 0.689290237090384172, 0.945352055794214996, 0.081140069720310029
0.360769641611702718, 0.701429889070588342, -0.366039337491783134, -2.005723589268871621, 0.041988627997794688, 0.701597929398076414, 0.950615213688951854, 0.087637062402629876
0.442148397102443469, 0.679772014361493815, -1.265287087332263027, -0.308308134998612093, 0.041038095615999859, 0.713905621705768656, 0.955878371583688713, 0.094654277880661067
0.176269664867319320, 1.153621491586686698, -0.759848660360296302, -1.112078611232024228, 0.040127334281610826, 0.726213314013461120, 0.961141529478425571, 0.102233371081600077
0.247118455724481406, 1.050211344478326314, -0.949611320530734604, 1.175038252423412644, 0.039253984312851833, 0.738521006321153362, 0.966404687373162430, 0.110419332297748599
0.309155224630224656, 0.565704452932085378, -0.573483981731533032, -2.841138603257860495, 0.038415864694783454, 0.750828698628845603, 0.971667845267899288, 0.119260754253607978
0.374823004721267117, 0.587061078736391129, -1.070891534691524205, 0.709762799341023265, 0.037610956771984498, 0.763136390936538067, 0.976931003162636147, 0.128810120557389801
0.464349910551907552, 0.578701353330770774, -0.669857166255365732, 0.798543825968062837, 0.036837389672243058, 0.775444083244230309, 0.982194161057372894, 0.139124117249219303
0.192027227815413315, 0.971435985901141774, -0.850577329876242461, -2.738032731541878206, 0.036093427252773140, 0.787751775551922551, 0.987457318952109753, 0.060081841227443075
0.259773698695442201, 0.895588575649430063, -0.459115854788290645, -2.746126566274836200, 0.055112062434515670, 0.641006213421745019, 0.992720476846846611, 0.064892673706889309
0.321617428228398672, 0.862751762361606667, -1.151044674048071759, 1.695732073534930384, 0.053633961854849983, 0.653313905729437483, 0.997983634741583470, 0.070088715904820714
0.389664700436324951, 0.846337820632703686, -0.715171665656511357, -2.569229947779802625, 0.052226488398241615, 0.665621598037129725, 1.003246792636320217, 0.075700812072798607
0.491218677173218821, 0.459539597036831005, -0.898448543766063867, -0.349026594009074931, 0.050884941632340405, 0.677929290344821966, 1.008509950531057076, 0.081762276202395387
0.122945786677729957, 1.040373325353508349, -0.519705594539583204, -0.527162229009481065, 0.049605016188792032, 0.690236982652514208, 1.013773108425793934, 0.088309089780543040
0.209620410665303847, 0.871385532026316301, -1.005994364634240412, -0.731869164985307408, 0.048382762011087557, 0.702544674960206672, 1.019036266320530792, 0.095380115379414293
0.274688350627736222, 0.820567699025339770, -0.623003797291658890, -1.159603711687514860, 0.047214549231465397, 0.714852367267898914, 0.924576432525517022, 0.103017327348727705
