# Omega_m, sigma_8, w0, wa, Omega_b, little_h, n_s, m_nu
0.317928425899608347, 0.772028647163799930, -0.866231595464931337, -0.588199740428786089, 0.043496623583254866, 0.684661103416196348, 0.979471810079628247, 0.094828769239001839
0.395417600816688308, 0.593648012021866123, -0.779342201017801828, -0.774701676444971010, 0.050396613017273426, 0.680359441302571533, 1.007383323153536292, 0.104959174501128058
0.198455764034672855, 0.646279531950281649, -0.677363264896059136, -2.181201713641680584, 0.049808714990082964, 0.663343870014357240, 0.928200893387219339, 0.075722978765875609
0.266925074115965277, 0.919449968331148004, -1.289604415316274677, 0.818006237712221695, 0.038898795791391230, 0.745538406806785736, 0.947639933889716013, 0.117576179350006318
0.298026501693947066, 0.813751893113891178, -1.217239805063136338, -0.195385375494622426, 0.034772045516560317, 0.779228547410822481, 0.953074469051394368, 0.066925670061927248
0.488285952547384217, 0.725074841428822614, -0.892092190433967924, -0.417889546759940222, 0.036168279004455177, 0.756011695046014953, 0.930986442326919628, 0.099732839640777962
0.262161117714342196, 1.024904105702973300, -0.597881450827628447, -1.323294239895941526, 0.057418097511981347, 0.646733239113769121, 1.010607439017537690, 0.075116634042807995
0.398305777344539758, 0.539689782200659773, -0.754134760637088841, -0.115075780286353568, 0.035608608642761608, 0.795752914782386522, 0.960694059130968281, 0.093919279744676967
0.386176607449357112, 0.787859985949316610, -0.650693295017749085, -1.074718484402810592, 0.031543619249383474, 0.799634791370431919, 0.996906772907186323, 0.068737022831701952
0.381991011741483866, 0.797000885110712320, -0.373394148851021179, -2.637044361636017520, 0.042178721088118931, 0.719000891345685789, 0.961673058927518976, 0.072058074396252503
0.463248172648029477, 0.589569012806810733, -0.728025204954406813, -0.232140566295481188, 0.034873717188558168, 0.786017737590034682, 1.009246742918581186, 0.087252457549436668
0.193673032366403819, 0.921514837883350424, -1.089171558035104237, -1.438960400086601421, 0.045209290861320583, 0.693817488459261722, 0.958288103468158292, 0.070749042953641095
0.459275566868378893, 0.633591306429219459, -0.642577901290073639, -1.388369417065325351, 0.035806116054016693, 0.775809753938392355, 0.953489742898886439, 0.061634089829805519
0.328911114855247877, 0.836417999438857196, -1.086608474262253932, -0.201236713625319807, 0.037848603792862971, 0.797554381939683199, 0.968050914331465506, 0.068436987029392340
0.245100353838564988, 0.710182525766864359, -0.740801044139638099, 0.075449752060247066, 0.047291667226390000, 0.684676966515040175, 0.961075070079763005, 0.124888055686249472
0.362744740705038926, 0.774052959569204835, -0.834769963106109514, -1.644201256005840550, 0.034660985352883422, 0.776934563349292895, 1.016450439971238406, 0.115272936394977737
0.157617331558511181, 1.249355071057713484, -0.646673877477064618, 0.051051578763633199, 0.038034774191799563, 0.738390966767691781, 1.017477563472471092, 0.086308761981109830
0.415283704945379362, 0.721607122145414670, -0.794183763491796979, -2.574217358718961179, 0.039497673569110311, 0.774605143916614391, 0.994268196414788363, 0.061787905997677132
0.242232481027931629, 0.974504293010745148, -0.744404245827524624, -2.017946607675614068, 0.035769046486490284, 0.794666902283739041, 0.922530118183296555, 0.060828037060917696
0.164501226181195170, 0.927197973537370879, -0.581467927295832632, -1.648482418123361049, 0.039208987621450107, 0.736054081149403627, 0.982475626949562031, 0.098142364219506617
0.377637065872187150, 0.493091502363804168, -0.483871173498321816, -1.931886396916338899, 0.037079188017998053, 0.781105135420721020, 0.928435682755880509, 0.061884561491120774
0.126179636557534364, 0.989548901072218601, -0.521880928919244091, -1.677948196585397289, 0.050339098023642337, 0.683112592127757434, 0.986846472679215991, 0.111488633278611041
0.307177195273931058, 0.772535034140541477, -0.724121441426593848, -2.555375869738227834, 0.036516801498075645, 0.791430502640073530, 1.003524209888065677, 0.132875537741036470
0.185599701947020190, 0.943882309260767438, -0.787012308179829478, 0.780565280910987314, 0.042643203154423451, 0.691205901290995683, 0.997701867654757879, 0.068722514563168913
0.187191128546218832, 1.179512021662172394, -1.044197438465830352, 1.182897701804676238, 0.039311924366598278, 0.717156053438174457, 0.969387135291708391, 0.103704083325343199
0.320796412101732376, 0.913765601375855940, -0.998178153132386559, -2.317210754700541386, 0.040503878174569546, 0.748560948640806911, 0.994189596673032416, 0.136264805285339602
0.414273373279268053, 0.529106343883247066, -0.737509742779176691, 0.163074506026417376, 0.042922406543340265, 0.688069605541704821, 1.018989970058808758, 0.134020788542658809
0.197842310869847438, 0.813605158487036517, -1.009367432024005362, -1.826302093523421100, 0.044546904925534245, 0.720869502409698160, 0.979350982674949688, 0.064755767795631483
0.404955521797523976, 0.760914214118962540, -1.169311413572382552, -0.878740630998523287, 0.049677074147160362, 0.661079971915453424, 0.954853555886887362, 0.090314009469165554
0.185953215306948055, 1.201926136655051325, -0.729023593547261539, -1.293934463430513659, 0.036135677043898022, 0.765584240429738938, 0.998388688696607685, 0.114150939903920792
0.404360841836003626, 0.706452295986939593, -1.025877161122407122, -0.133935029619984880, 0.039350028286313100, 0.719484460109841240, 0.988863807910402737, 0.083466791476619853
0.364062523479246891, 0.664497803827558853, -0.761848576821191004, -2.613855407996308333, 0.051807288907303350, 0.666546592824372564, 0.939724984533427121, 0.064563916975163227
0.412332225689457488, 0.583854731293136808, -0.610645964252671369, -2.790476886229246389, 0.050513273125956867, 0.678398884032135108, 0.957249285606708633, 0.093791012980439084
0.136628567485321734, 1.236181307740537916, -0.813727841939242413, -1.633833590765948252, 0.041616583522719255, 0.715428846742805047, 0.931753263057625403, 0.125937415791133239
0.310956374326518348, 0.751451091278891758, -0.518283235148749633, -2.874312636706300772, 0.044768580945534132, 0.720838670271970461, 0.922157948005046135, 0.090143177394295393
0.221835727499599733, 0.637084842424115227, -1.083720968184472611, -0.020031345973361536, 0.043630526745717171, 0.700153258925321320, 0.925787000456508191, 0.098216102210532688
0.345645023248810801, 0.780983618639461419, -0.739884324568649943, 0.300508905117088609, 0.048336592500629057, 0.690879741673369852, 1.012294697126773890, 0.117319132597416192
0.214540120935400175, 0.933038463898489989, -0.682498070331895246, 0.174304361252608953, 0.043483528886989711, 0.697165623838682080, 0.977034113228584244, 0.112038031093355195
0.333886902368869309, 0.801140192483185354, -0.796763845185052499, 0.509604367936166369, 0.033240049437981339, 0.792182866299648070, 1.000725023952226511, 0.061641610056259469
